tournaments.RoundRobinTournament
AIs
	lightari
	AgentP(AStarPathFinding)
	mayari
	WorkerRush(AStarPathFinding)
	CoacAI(AStarPathFinding)
	RandomAI
maps
	/home/nickadkins47/CS4900/CS4900-PA3/maps/16x16/basesWorkers16x16A.xml
iterations	100
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	955	1	-1	-1
0	0	0	2	1915	1	-1	-1
0	0	0	3	370	1	-1	-1
0	0	0	4	1691	1	-1	-1
0	0	0	5	764	0	-1	-1
0	0	1	0	570	0	-1	-1
0	0	1	2	780	0	-1	-1
0	0	1	3	1445	1	-1	-1
0	0	1	4	1545	1	-1	-1
0	0	1	5	655	0	-1	-1
0	0	2	0	1276	0	-1	-1
0	0	2	1	876	0	-1	-1
0	0	2	3	930	0	-1	-1
0	0	2	4	906	1	-1	-1
0	0	2	5	935	0	-1	-1
0	0	3	0	455	0	-1	-1
0	0	3	1	3000	-1	-1	-1
0	0	3	2	1012	1	-1	-1
0	0	3	4	860	1	-1	-1
0	0	3	5	595	0	-1	-1
0	0	4	0	895	0	-1	-1
0	0	4	1	1745	0	-1	-1
0	0	4	2	1007	0	-1	-1
0	0	4	3	525	1	-1	-1
0	0	4	5	795	0	-1	-1
0	0	5	0	877	1	-1	-1
0	0	5	1	755	1	-1	-1
0	0	5	2	1045	1	-1	-1
0	0	5	3	585	1	-1	-1
0	0	5	4	935	1	-1	-1
1	0	0	1	930	1	-1	-1
1	0	0	2	1905	1	-1	-1
1	0	0	3	385	1	-1	-1
1	0	0	4	1351	1	-1	-1
1	0	0	5	775	0	-1	-1
1	0	1	0	525	0	-1	-1
1	0	1	2	855	0	-1	-1
1	0	1	3	1445	1	-1	-1
1	0	1	4	2168	1	-1	-1
1	0	1	5	625	0	-1	-1
1	0	2	0	1316	0	-1	-1
1	0	2	1	1499	0	-1	-1
1	0	2	3	910	0	-1	-1
1	0	2	4	906	1	-1	-1
1	0	2	5	975	0	-1	-1
1	0	3	0	410	0	-1	-1
1	0	3	1	3000	-1	-1	-1
1	0	3	2	1145	1	-1	-1
1	0	3	4	860	1	-1	-1
1	0	3	5	485	0	-1	-1
1	0	4	0	895	0	-1	-1
1	0	4	1	1745	0	-1	-1
1	0	4	2	1002	0	-1	-1
1	0	4	3	525	1	-1	-1
1	0	4	5	855	0	-1	-1
1	0	5	0	1163	1	-1	-1
1	0	5	1	845	1	-1	-1
1	0	5	2	935	1	-1	-1
1	0	5	3	370	1	-1	-1
1	0	5	4	725	1	-1	-1
2	0	0	1	845	1	-1	-1
2	0	0	2	1918	1	-1	-1
2	0	0	3	430	1	-1	-1
2	0	0	4	1359	1	-1	-1
2	0	0	5	779	0	-1	-1
2	0	1	0	715	0	-1	-1
2	0	1	2	1255	0	-1	-1
2	0	1	3	1445	1	-1	-1
2	0	1	4	2168	1	-1	-1
2	0	1	5	620	0	-1	-1
2	0	2	0	1249	0	-1	-1
2	0	2	1	1746	0	-1	-1
2	0	2	3	910	0	-1	-1
2	0	2	4	906	1	-1	-1
2	0	2	5	869	0	-1	-1
2	0	3	0	375	0	-1	-1
2	0	3	1	3000	-1	-1	-1
2	0	3	2	1106	1	-1	-1
2	0	3	4	860	1	-1	-1
2	0	3	5	525	0	-1	-1
2	0	4	0	895	0	-1	-1
